Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -3.30009      2.62836      1.17327      1.45509
     -3.29009      2.57583      1.04237      1.53347
     -3.28009      2.66556      1.07684      1.58871
     -3.27009      2.54137      1.06520      1.47617
     -3.26009      2.19711      0.90021      1.29690
     -3.25009      2.03205      0.81498      1.21707
     -3.24009      2.30455      0.96041      1.34414
     -3.23009      2.22752      0.95948      1.26804
     -3.22009      1.72166      0.77040      0.95126
     -3.21009      1.47565      0.68286      0.79280
     -3.20009      1.29636      0.60537      0.69099
     -3.19009      1.24733      0.60902      0.63831
     -3.18009      1.34019      0.65018      0.69001
     -3.17009      1.23536      0.59466      0.64070
     -3.16009      1.67379      0.81476      0.85902
     -3.15009      2.39662      1.16066      1.23597
     -3.14009      2.31028      1.10328      1.20700
     -3.13009      1.66296      0.76240      0.90056
     -3.12009      1.18560      0.47393      0.71167
     -3.11009      1.05069      0.37109      0.67960
     -3.10009      0.80468      0.30266      0.50201
     -3.09009      1.00978      0.46139      0.54839
     -3.08009      2.03331      0.90796      1.12535
     -3.07009      2.40795      0.99809      1.40986
     -3.06009      1.60288      0.63222      0.97066
     -3.05009      0.82812      0.35212      0.47599
     -3.04009      0.93358      0.45903      0.47454
     -3.03009      1.64606      0.77685      0.86922
     -3.02009      1.98926      0.89206      1.09720
     -3.01009      2.00974      0.90861      1.10113
     -3.00009      1.73571      0.80719      0.92852
     -2.99009      1.40998      0.67296      0.73702
     -2.98009      1.23084      0.59540      0.63544
     -2.97009      1.10754      0.49310      0.61444
     -2.96009      1.20078      0.47425      0.72654
     -2.95009      1.25912      0.53405      0.72507
     -2.94009      1.09967      0.53024      0.56943
     -2.93009      1.02864      0.49647      0.53217
     -2.92009      1.20692      0.52063      0.68629
     -2.91009      1.59856      0.64546      0.95310
     -2.90009      2.13290      0.81768      1.31522
     -2.89009      2.39489      0.89052      1.50437
     -2.88009      2.08183      0.80445      1.27738
     -2.87009      1.57017      0.63529      0.93487
     -2.86009      0.95056      0.38407      0.56649
     -2.85009      1.08664      0.46171      0.62493
     -2.84009      1.62683      0.69563      0.93119
     -2.83009      1.52513      0.65823      0.86690
     -2.82009      1.40915      0.63680      0.77234
     -2.81009      1.33831      0.60196      0.73635
     -2.80009      1.07632      0.46123      0.61509
     -2.79009      0.98998      0.40296      0.58702
     -2.78009      1.20009      0.49062      0.70947
     -2.77009      1.44963      0.61188      0.83775
     -2.76009      1.58228      0.63407      0.94821
     -2.75009      1.76965      0.65497      1.11468
     -2.74009      2.05753      0.77962      1.27792
     -2.73009      1.92031      0.78749      1.13282
     -2.72009      1.69093      0.73139      0.95954
     -2.71009      2.29000      0.90612      1.38389
     -2.70009      2.86227      1.01145      1.85082
     -2.69009      2.55097      0.83234      1.71863
     -2.68009      1.92221      0.61865      1.30356
     -2.67009      1.51345      0.52874      0.98470
     -2.66009      1.53173      0.56633      0.96540
     -2.65009      1.67837      0.60109      1.07729
     -2.64009      1.89745      0.69089      1.20655
     -2.63009      2.00985      0.78025      1.22960
     -2.62009      2.20816      0.85667      1.35149
     -2.61009      2.62026      0.98634      1.63392
     -2.60009      2.81002      1.01616      1.79386
     -2.59009      2.49419      0.86759      1.62660
     -2.58009      2.18047      0.78623      1.39424
     -2.57009      2.44492      0.93329      1.51162
     -2.56009      3.34766      1.11686      2.23080
     -2.55009      4.76824      1.36241      3.40583
     -2.54009      5.93007      1.52986      4.40021
     -2.53009      6.43083      1.54218      4.88866
     -2.52009      6.53826      1.56829      4.96997
     -2.51009      6.55401      1.72442      4.82959
     -2.50009      6.04920      1.71775      4.33145
     -2.49009      5.49655      1.56258      3.93397
     -2.48009      4.74663      1.37630      3.37033
     -2.47009      4.24444      1.27101      2.97343
     -2.46009      4.23044      1.19340      3.03703
     -2.45009      3.80867      1.11381      2.69486
     -2.44009      3.26191      1.11486      2.14705
     -2.43009      3.23934      1.11572      2.12363
     -2.42009      3.10326      0.98100      2.12226
     -2.41009      3.17372      0.97120      2.20252
     -2.40009      3.56921      1.11041      2.45880
     -2.39009      3.65287      1.13125      2.52162
     -2.38009      3.50009      1.05447      2.44562
     -2.37009      3.47325      1.01372      2.45953
     -2.36009      3.53412      1.02758      2.50654
     -2.35009      4.18950      1.28944      2.90006
     -2.34009      3.89707      1.30956      2.58751
     -2.33009      2.70694      0.95033      1.75661
     -2.32009      2.66830      0.81959      1.84871
     -2.31009      3.33121      1.05723      2.27398
     -2.30009      3.26727      1.08966      2.17761
     -2.29009      2.58766      0.80154      1.78612
     -2.28009      2.84692      0.88888      1.95805
     -2.27009      3.49422      1.16594      2.32828
     -2.26009      3.17553      1.04976      2.12577
     -2.25009      2.47038      0.78222      1.68815
     -2.24009      2.40754      0.81156      1.59598
     -2.23009      2.87985      1.02428      1.85556
     -2.22009      3.66513      1.25362      2.41151
     -2.21009      4.26738      1.45141      2.81597
     -2.20009      3.88035      1.32250      2.55785
     -2.19009      3.72544      1.31095      2.41449
     -2.18009      4.70544      1.73664      2.96880
     -2.17009      5.25632      1.89578      3.36054
     -2.16009      5.10577      1.73900      3.36677
     -2.15009      4.70532      1.54302      3.16230
     -2.14009      4.48916      1.50125      2.98790
     -2.13009      4.39779      1.44309      2.95470
     -2.12009      3.51234      1.17714      2.33520
     -2.11009      2.77632      1.08664      1.68968
     -2.10009      3.25629      1.26810      1.98819
     -2.09009      3.82716      1.32131      2.50585
     -2.08009      3.27588      0.99041      2.28546
     -2.07009      2.55386      0.72465      1.82921
     -2.06009      2.04192      0.58862      1.45330
     -2.05009      1.69905      0.58491      1.11414
     -2.04009      2.56492      0.95810      1.60683
     -2.03009      3.47366      1.19946      2.27420
     -2.02009      3.35251      1.02899      2.32352
     -2.01009      3.71822      1.15129      2.56694
     -2.00009      4.01447      1.28580      2.72867
     -1.99009      3.13790      0.93864      2.19926
     -1.98009      2.25701      0.68404      1.57297
     -1.97009      1.99676      0.56621      1.43055
     -1.96009      1.93011      0.39322      1.53689
     -1.95009      2.02383      0.43172      1.59211
     -1.94009      2.59530      0.77683      1.81847
     -1.93009      2.95076      0.98690      1.96385
     -1.92009      2.70697      0.92420      1.78277
     -1.91009      2.48855      0.84319      1.64536
     -1.90009      2.26547      0.68768      1.57779
     -1.89009      2.30357      0.65544      1.64813
     -1.88009      2.68066      0.75499      1.92567
     -1.87009      2.84830      0.74697      2.10132
     -1.86009      2.96128      0.67658      2.28471
     -1.85009      3.19811      0.70220      2.49591
     -1.84009      3.46925      0.90503      2.56422
     -1.83009      3.18345      0.98804      2.19541
     -1.82009      2.51079      0.79509      1.71570
     -1.81009      2.06336      0.57576      1.48759
     -1.80009      1.88795      0.45296      1.43500
     -1.79009      1.85885      0.42425      1.43461
     -1.78009      1.75169      0.40747      1.34422
     -1.77009      1.65673      0.44773      1.20900
     -1.76009      1.98303      0.56483      1.41820
     -1.75009      2.28257      0.56425      1.71832
     -1.74009      2.13852      0.43018      1.70834
     -1.73009      2.26759      0.42649      1.84110
     -1.72009      2.66589      0.60722      2.05867
     -1.71009      2.83706      0.79209      2.04498
     -1.70009      3.02258      0.89623      2.12635
     -1.69009      2.67759      0.73314      1.94445
     -1.68009      1.92196      0.41734      1.50462
     -1.67009      1.66790      0.27892      1.38898
     -1.66009      1.59811      0.32247      1.27564
     -1.65009      1.84173      0.45895      1.38277
     -1.64009      2.46676      0.57425      1.89250
     -1.63009      2.76781      0.56020      2.20761
     -1.62009      2.77203      0.61043      2.16160
     -1.61009      2.71285      0.68588      2.02697
     -1.60009      2.86687      0.72138      2.14550
     -1.59009      3.51770      0.94412      2.57358
     -1.58009      4.85300      1.33722      3.51578
     -1.57009      5.20860      1.37956      3.82903
     -1.56009      4.62977      1.11262      3.51714
     -1.55009      4.12405      0.89190      3.23216
     -1.54009      3.39743      0.70477      2.69266
     -1.53009      2.57417      0.48549      2.08868
     -1.52009      2.10461      0.34343      1.76118
     -1.51009      1.76675      0.31666      1.45009
     -1.50009      1.25420      0.31155      0.94265
     -1.49009      0.69699      0.21722      0.47976
     -1.48009      0.34408      0.10923      0.23486
     -1.47009      0.46009      0.13608      0.32401
     -1.46009      0.70942      0.20848      0.50094
     -1.45009      0.80797      0.22398      0.58399
     -1.44009      0.80436      0.21382      0.59054
     -1.43009      0.66700      0.18410      0.48291
     -1.42009      0.43166      0.12309      0.30857
     -1.41009      0.41657      0.11636      0.30021
     -1.40009      0.52427      0.13786      0.38641
     -1.39009      0.66958      0.16112      0.50846
     -1.38009      0.84814      0.18945      0.65868
     -1.37009      1.03246      0.21662      0.81584
     -1.36009      1.05499      0.20939      0.84561
     -1.35009      0.70117      0.13183      0.56934
     -1.34009      0.33309      0.05753      0.27556
     -1.33009      0.13912      0.02236      0.11676
     -1.32009      0.03397      0.00535      0.02863
     -1.31009      0.00342      0.00054      0.00289
     -1.30009      0.00013      0.00002      0.00011
     -1.29009      0.00000      0.00000      0.00000
     -1.28009      0.00000      0.00000      0.00000
     -1.27009      0.00000      0.00000      0.00000
     -1.26009      0.00000      0.00000      0.00000
     -1.25009      0.00000      0.00000      0.00000
     -1.24009      0.00000      0.00000      0.00000
     -1.23009      0.00000      0.00000      0.00000
     -1.22009      0.00000      0.00000      0.00000
     -1.21009      0.00000      0.00000      0.00000
     -1.20009      0.00000      0.00000      0.00000
     -1.19009      0.00000      0.00000      0.00000
     -1.18009      0.00040      0.00027      0.00013
     -1.17009      0.01130      0.00770      0.00361
     -1.16009      0.12917      0.08870      0.04047
     -1.15009      0.61411      0.42525      0.18886
     -1.14009      1.27747      0.88775      0.38972
     -1.13009      1.26213      0.86896      0.39317
     -1.12009      0.83840      0.55749      0.28091
     -1.11009      0.86371      0.56317      0.30054
     -1.10009      1.04982      0.70858      0.34124
     -1.09009      1.11092      0.76646      0.34445
     -1.08009      1.30002      0.86399      0.43603
     -1.07009      1.68381      1.08866      0.59516
     -1.06009      1.67137      1.09869      0.57268
     -1.05009      1.22041      0.81717      0.40324
     -1.04009      1.00109      0.64539      0.35570
     -1.03009      1.22270      0.77926      0.44344
     -1.02009      1.38149      0.91874      0.46275
     -1.01009      1.76881      1.18003      0.58878
     -1.00009      2.39939      1.55920      0.84019
