# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      20     0.25532     0.44224     0.00000   -3.648203890   -5.236343110   -1.588139220
     1      20     0.26242     0.45452     0.00000   -3.628952497   -5.217252315   -1.588299818
     1      20     0.26951     0.46680     0.00000   -3.611340729   -5.197752817   -1.586412088
     1      20     0.27660     0.47909     0.00000   -3.606966911   -5.178385004   -1.571418093
     1      20     0.28369     0.49137     0.00000   -3.644523871   -5.178625702   -1.534101831
     1      20     0.29079     0.50366     0.00000   -3.715607988   -5.237605043   -1.521997054
     1      20     0.29788     0.51594     0.00000   -3.791305112   -5.319071111   -1.527765999
     1      20     0.30497     0.52823     0.00000   -3.861210376   -5.401062718   -1.539852342
     1      20     0.31206     0.54051     0.00000   -3.921102228   -5.475287116   -1.554184888
     1      20     0.31916     0.55279     0.00000   -3.935740814   -5.469072027   -1.533331213
     1      20     0.32625     0.56508     0.00000   -3.939440343   -5.475868825   -1.536428482
     1      20     0.33334     0.57736     0.00000   -3.942310419   -5.481491893   -1.539181474
     1      20     0.34043     0.58965     0.00000   -3.944369025   -5.484125741   -1.539756716
     1      20     0.34753     0.60193     0.00000   -3.945259610   -5.485009433   -1.539749823
     1      20     0.35354     0.59156     0.00000   -3.944411853   -5.484160529   -1.539748676
     1      20     0.35955     0.58120     0.00000   -3.941393801   -5.481127962   -1.539734161
     1      20     0.36556     0.57083     0.00000   -3.935091854   -5.474682330   -1.539590476
     1      20     0.37156     0.56046     0.00000   -3.923926699   -5.462834655   -1.538907956
     1      20     0.37757     0.55009     0.00000   -3.885703006   -5.469768163   -1.584065157
     1      20     0.38358     0.53973     0.00000   -3.803862603   -5.382258359   -1.578395756
     1      20     0.38959     0.52936     0.00000   -3.709451585   -5.280510923   -1.571059337
     1      20     0.39560     0.51899     0.00000   -3.606577921   -5.172378680   -1.565800759
     1      20     0.40161     0.50862     0.00000   -3.507732213   -5.096025181   -1.588292967
     1      20     0.40762     0.49825     0.00000   -3.472885732   -5.094628146   -1.621742414
     1      20     0.41363     0.48789     0.00000   -3.479026482   -5.094519695   -1.615493213
     1      20     0.41964     0.47752     0.00000   -3.489109744   -5.095247371   -1.606137628
     1      20     0.42565     0.46715     0.00000   -3.498752329   -5.095996033   -1.597243704
