Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -2.37870      2.99719      1.20570      1.79149
     -2.36870      3.25149      1.23437      2.01712
     -2.35870      2.96517      1.02144      1.94373
     -2.34870      3.42943      1.10869      2.32074
     -2.33870      4.87557      1.49152      3.38405
     -2.32870      6.36384      1.84471      4.51912
     -2.31870      6.37749      1.80589      4.57160
     -2.30870      5.87089      1.60367      4.26722
     -2.29870      5.48552      1.45861      4.02691
     -2.28870      5.00466      1.40389      3.60078
     -2.27870      5.18093      1.57446      3.60647
     -2.26870      4.99692      1.56985      3.42707
     -2.25870      4.38799      1.40367      2.98431
     -2.24870      4.24961      1.41125      2.83836
     -2.23870      3.70970      1.27910      2.43060
     -2.22870      2.89506      0.99787      1.89719
     -2.21870      3.04297      0.99071      2.05226
     -2.20870      3.51071      1.08128      2.42943
     -2.19870      3.34463      1.13204      2.21260
     -2.18870      3.46005      1.30344      2.15662
     -2.17870      4.12310      1.50234      2.62076
     -2.16870      4.64702      1.55891      3.08811
     -2.15870      4.43259      1.44569      2.98690
     -2.14870      3.73633      1.35445      2.38189
     -2.13870      3.13260      1.28424      1.84836
     -2.12870      3.05941      1.16996      1.88945
     -2.11870      3.29046      1.19559      2.09487
     -2.10870      2.95783      1.12289      1.83494
     -2.09870      2.75048      0.99694      1.75354
     -2.08870      3.17860      1.09430      2.08430
     -2.07870      3.39729      1.29533      2.10195
     -2.06870      3.58052      1.40787      2.17265
     -2.05870      3.13161      1.16588      1.96572
     -2.04870      2.49096      0.91688      1.57408
     -2.03870      2.91122      1.07100      1.84022
     -2.02870      3.94405      1.46460      2.47945
     -2.01870      3.70010      1.40875      2.29135
     -2.00870      2.60742      0.98556      1.62186
     -1.99870      2.88607      1.03320      1.85288
     -1.98870      4.33026      1.53472      2.79554
     -1.97870      4.65109      1.71080      2.94029
     -1.96870      3.59867      1.37220      2.22647
     -1.95870      3.33172      1.25166      2.08005
     -1.94870      3.65118      1.29846      2.35272
     -1.93870      3.44822      1.21794      2.23028
     -1.92870      3.25641      1.27965      1.97677
     -1.91870      3.13030      1.27889      1.85140
     -1.90870      2.98565      1.18497      1.80069
     -1.89870      3.28281      1.27018      2.01263
     -1.88870      3.59082      1.35651      2.23430
     -1.87870      3.66949      1.49507      2.17442
     -1.86870      3.51774      1.54975      1.96798
     -1.85870      3.48601      1.55705      1.92896
     -1.84870      3.62262      1.58826      2.03436
     -1.83870      3.34517      1.40100      1.94418
     -1.82870      3.90603      1.58247      2.32356
     -1.81870      5.36355      2.12275      3.24080
     -1.80870      5.47734      2.06179      3.41555
     -1.79870      3.90849      1.36193      2.54656
     -1.78870      2.75593      0.94169      1.81424
     -1.77870      2.70812      0.98567      1.72245
     -1.76870      2.82508      1.13066      1.69442
     -1.75870      2.59028      1.00989      1.58040
     -1.74870      2.12134      0.70051      1.42083
     -1.73870      1.95078      0.60474      1.34604
     -1.72870      2.05815      0.67005      1.38810
