Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -2.45000      1.56025      0.73676      0.82349
     -2.44000      1.77013      0.83274      0.93739
     -2.43000      2.06160      0.97232      1.08928
     -2.42000      1.80221      0.85044      0.95177
     -2.41000      1.18462      0.54244      0.64218
     -2.40000      1.03745      0.46281      0.57465
     -2.39000      1.09419      0.50182      0.59236
     -2.38000      1.24719      0.58662      0.66057
     -2.37000      1.25265      0.56296      0.68969
     -2.36000      1.11645      0.46306      0.65339
     -2.35000      1.76856      0.72842      1.04014
     -2.34000      2.89543      1.19325      1.70218
     -2.33000      2.95455      1.24674      1.70781
     -2.32000      2.28819      0.99318      1.29501
     -2.31000      1.77294      0.74039      1.03255
     -2.30000      1.45795      0.57459      0.88337
     -2.29000      1.12610      0.46810      0.65800
     -2.28000      0.96381      0.46496      0.49885
     -2.27000      1.09939      0.51770      0.58170
     -2.26000      1.15692      0.51572      0.64120
     -2.25000      1.04829      0.50065      0.54764
     -2.24000      1.27067      0.61827      0.65240
     -2.23000      1.81861      0.84973      0.96889
     -2.22000      1.75605      0.80740      0.94865
     -2.21000      1.29993      0.58081      0.71913
     -2.20000      1.32642      0.61988      0.70654
     -2.19000      1.55696      0.75926      0.79770
     -2.18000      1.52061      0.73123      0.78938
     -2.17000      1.81099      0.78760      1.02339
     -2.16000      2.21037      0.92132      1.28905
     -2.15000      1.90420      0.84118      1.06303
     -2.14000      1.64797      0.77350      0.87447
     -2.13000      1.99382      0.92051      1.07330
     -2.12000      2.33874      1.05573      1.28301
     -2.11000      2.21340      1.01824      1.19516
     -2.10000      1.89657      0.93495      0.96163
     -2.09000      1.56032      0.80320      0.75712
     -2.08000      1.75800      0.81993      0.93807
     -2.07000      2.56384      1.09608      1.46776
     -2.06000      2.71165      1.13576      1.57589
     -2.05000      2.28988      1.01120      1.27868
     -2.04000      2.16158      1.05862      1.10296
     -2.03000      2.20018      1.08769      1.11249
     -2.02000      2.04507      0.95336      1.09172
     -2.01000      1.88984      0.82138      1.06846
     -2.00000      2.67496      1.04738      1.62758
     -1.99000      4.12530      1.49204      2.63326
     -1.98000      4.50812      1.66301      2.84510
     -1.97000      3.85322      1.55508      2.29814
     -1.96000      3.33877      1.41242      1.92636
     -1.95000      3.03810      1.28148      1.75662
     -1.94000      2.74661      1.15180      1.59481
     -1.93000      2.74347      1.09974      1.64373
     -1.92000      3.09997      1.18553      1.91443
     -1.91000      3.32335      1.22055      2.10280
     -1.90000      3.86549      1.28256      2.58293
     -1.89000      5.39272      1.64773      3.74499
     -1.88000      7.32491      2.29077      5.03414
     -1.87000      7.96428      2.55193      5.41235
     -1.86000      6.91778      2.15411      4.76367
     -1.85000      5.09346      1.57557      3.51788
     -1.84000      4.25272      1.42372      2.82900
     -1.83000      4.40373      1.52711      2.87663
     -1.82000      4.86426      1.60985      3.25441
     -1.81000      5.18042      1.66906      3.51136
     -1.80000      4.31004      1.47825      2.83178
     -1.79000      3.82376      1.43931      2.38445
     -1.78000      3.75676      1.37604      2.38072
     -1.77000      2.84913      0.99698      1.85215
     -1.76000      2.52236      0.91486      1.60750
     -1.75000      3.76206      1.37249      2.38956
     -1.74000      4.97123      1.73297      3.23826
     -1.73000      4.90117      1.69197      3.20920
     -1.72000      4.01048      1.55767      2.45281
     -1.71000      3.37751      1.47026      1.90725
     -1.70000      3.49063      1.44253      2.04810
     -1.69000      4.27240      1.68498      2.58742
